DEPT    .M	DEN     .g/cm3
848.67	2.272
848.72	2.282
848.77	2.299
848.82	2.332
848.87	2.367
848.92	2.411
848.97	2.448
849.02	2.468
849.07	2.472
849.12	2.463
849.17	2.442
849.22	2.412
849.27	2.372
849.32	2.328
849.37	2.27
849.42	2.216
849.47	2.183
849.52	2.176
849.57	2.2
849.62	2.231
849.67	2.262
849.72	2.275
849.77	2.272
849.82	2.264
849.87	2.254
849.92	2.253
849.97	2.245
850.02	2.238
850.07	2.225
850.12	2.216
850.17	2.215
850.22	2.211
850.27	2.222
850.32	2.234
850.37	2.257
850.42	2.286
850.47	2.304
850.52	2.311
850.57	2.303
850.62	2.288
850.67	2.284
850.72	2.285
850.77	2.304
850.82	2.32
850.87	2.333
850.92	2.329
850.97	2.313
851.02	2.298
851.07	2.282
851.12	2.279
851.17	2.281
851.22	2.287
851.27	2.293
851.32	2.307
851.37	2.314
851.42	2.316
851.47	2.318
851.52	2.315
851.57	2.312
851.62	2.309
851.67	2.3
851.72	2.294
851.77	2.286
851.82	2.282
851.87	2.278
851.92	2.266
851.97	2.25
852.02	2.231
852.07	2.223
852.12	2.223
852.17	2.234
852.22	2.251
852.27	2.265
852.32	2.269
852.37	2.269
852.42	2.262
852.47	2.255
852.52	2.253
852.57	2.259
852.62	2.266
852.67	2.271
852.72	2.271
852.77	2.273
852.82	2.269
852.87	2.267
852.92	2.267
852.97	2.269
853.02	2.277
853.07	2.289
853.12	2.303
853.17	2.312
853.22	2.31
853.27	2.303
853.32	2.292
853.37	2.288
853.42	2.299
853.47	2.319
853.52	2.333
853.57	2.342
853.62	2.332
853.67	2.319
853.72	2.303
853.77	2.295
853.82	2.292
853.87	2.296
853.92	2.299
853.97	2.298
854.02	2.292
854.07	2.29
854.12	2.293
854.17	2.297
854.22	2.292
854.27	2.288
854.32	2.28
854.37	2.279
854.42	2.275
854.47	2.269
854.52	2.259
854.57	2.251
854.62	2.25
854.67	2.258
854.72	2.271
854.77	2.275
854.82	2.271
854.87	2.252
854.92	2.228
854.97	2.2
855.02	2.184
855.07	2.172
855.12	2.166
855.17	2.163
855.22	2.164
855.27	2.172
855.32	2.187
855.37	2.203
855.42	2.218
855.47	2.231
855.52	2.239
855.57	2.249
855.62	2.253
855.67	2.26
855.72	2.26
855.77	2.259
855.82	2.254
855.87	2.255
855.92	2.263
855.97	2.271
856.02	2.279
856.07	2.285
856.12	2.282
856.17	2.276
856.22	2.272
856.27	2.273
856.32	2.281
856.37	2.29
856.42	2.297
856.47	2.309
856.52	2.319
856.57	2.34
856.62	2.354
856.67	2.359
856.72	2.347
856.77	2.326
856.82	2.303
856.87	2.29
856.92	2.279
856.97	2.27
857.02	2.261
857.07	2.266
857.12	2.277
857.17	2.296
857.22	2.314
857.27	2.322
857.32	2.334
857.37	2.352
857.42	2.378
857.47	2.422
857.52	2.461
857.57	2.484
857.62	2.475
857.67	2.438
857.72	2.402
857.77	2.364
857.82	2.333
857.87	2.311
857.92	2.281
857.97	2.24
858.02	2.2
858.07	2.187
858.12	2.17
858.17	2.145
858.22	2.151
858.27	2.158
858.32	2.162
858.37	2.158
858.42	2.155
858.47	2.154
858.52	2.162
858.57	2.209
858.62	2.262
858.67	2.309
858.72	2.349
858.77	2.359
858.82	2.334
858.87	2.3
858.92	2.268
858.97	2.243
859.02	2.226
859.07	2.215
859.12	2.202
859.17	2.196
859.22	2.193
859.27	2.2
859.32	2.214
859.37	2.229
859.42	2.242
859.47	2.253
859.52	2.264
859.57	2.279
859.62	2.286
859.67	2.284
859.72	2.279
859.77	2.27
859.82	2.277
859.87	2.275
859.92	2.279
859.97	2.291
860.02	2.296
860.07	2.285
860.12	2.276
860.17	2.258
860.22	2.25
860.27	2.239
860.32	2.232
860.37	2.232
860.42	2.221
860.47	2.226
860.52	2.238
860.57	2.235
860.62	2.231
860.67	2.221
860.72	2.209
860.77	2.214
860.82	2.202
860.87	2.184
860.92	2.179
860.97	2.179
861.02	2.179
861.07	2.175
861.12	2.168
861.17	2.161
861.22	2.148
861.27	2.132
861.32	2.133
861.37	2.147
861.42	2.159
861.47	2.168
861.52	2.174
861.57	2.17
861.62	2.18
861.67	2.217
861.72	2.24
861.77	2.256
861.82	2.266
861.87	2.275
861.92	2.271
861.97	2.278
862.02	2.277
862.07	2.277
862.12	2.277
862.17	2.289
862.22	2.306
862.27	2.316
862.32	2.32
862.37	2.328
862.42	2.322
862.47	2.311
862.52	2.308
862.57	2.307
862.62	2.313
862.67	2.313
862.72	2.307
862.77	2.302
862.82	2.302
862.87	2.31
862.92	2.308
862.97	2.305
863.02	2.296
863.07	2.29
863.12	2.29
863.17	2.287
863.22	2.287
863.27	2.281
863.32	2.274
863.37	2.268
863.42	2.263
863.47	2.264
863.52	2.27
863.57	2.273
863.62	2.283
863.67	2.296
863.72	2.312
863.77	2.321
863.82	2.328
863.87	2.33
863.92	2.329
863.97	2.33
864.02	2.333
864.07	2.336
864.12	2.35
864.17	2.354
864.22	2.358
864.27	2.363
864.32	2.353
864.37	2.352
864.42	2.351
864.47	2.355
864.52	2.359
864.57	2.367
864.62	2.368
864.67	2.378
864.72	2.37
864.77	2.361
864.82	2.36
864.87	2.365
864.92	2.372
864.97	2.38
865.02	2.384
865.07	2.366
865.12	2.363
865.17	2.375
865.22	2.369
865.27	2.361
865.32	2.351
865.37	2.345
865.42	2.34
865.47	2.336
865.52	2.333
865.57	2.335
865.62	2.34
865.67	2.34
865.72	2.341
865.77	2.342
865.82	2.343
865.87	2.339
865.92	2.341
865.97	2.333
866.02	2.33
866.07	2.327
866.12	2.323
866.17	2.318
866.22	2.317
866.27	2.315
866.32	2.328
866.37	2.351
866.42	2.389
866.47	2.419
866.52	2.442
866.57	2.444
866.62	2.431
866.67	2.414
866.72	2.394
866.77	2.369
866.82	2.333
866.87	2.326
866.92	2.312
866.97	2.298
867.02	2.296
867.07	2.297
867.12	2.309
867.17	2.329
867.22	2.34
867.27	2.357
867.32	2.361
867.37	2.35
867.42	2.329
867.47	2.323
867.52	2.301
867.57	2.284
867.62	2.266
867.67	2.254
867.72	2.245
867.77	2.24
867.82	2.236
867.87	2.237
867.92	2.229
867.97	2.213
868.02	2.201
868.07	2.192
868.12	2.193
868.17	2.203
868.22	2.215
868.27	2.227
868.32	2.231
868.37	2.24
868.42	2.258
868.47	2.276
868.52	2.297
868.57	2.315
868.62	2.327
868.67	2.338
868.72	2.349
868.77	2.357
868.82	2.358
868.87	2.344
868.92	2.311
868.97	2.293
869.02	2.28
869.07	2.277
869.12	2.275
869.17	2.286
869.22	2.285
869.27	2.303
869.32	2.295
869.37	2.28
869.42	2.272
869.47	2.274
869.52	2.281
869.57	2.286
869.62	2.289
869.67	2.285
869.72	2.285
869.77	2.285
869.82	2.285
869.87	2.284
869.92	2.281
869.97	2.279
870.02	2.287
870.07	2.301
870.12	2.307
870.17	2.302
870.22	2.29
870.27	2.28
870.32	2.271
870.37	2.261
870.42	2.251
870.47	2.235
870.52	2.224
870.57	2.218
870.62	2.218
870.67	2.229
870.72	2.244
870.77	2.269
870.82	2.285
870.87	2.292
870.92	2.283
870.97	2.265
871.02	2.245
871.07	2.237
871.12	2.247
871.17	2.272
871.22	2.305
871.27	2.338
871.32	2.349
871.37	2.363
871.42	2.36
871.47	2.358
871.52	2.343
871.57	2.335
871.62	2.341
871.67	2.358
871.72	2.372
871.77	2.381
871.82	2.382
871.87	2.383
871.92	2.38
871.97	2.379
872.02	2.373
872.07	2.361
872.12	2.344
872.17	2.328
872.22	2.318
872.27	2.314
872.32	2.317
872.37	2.319
872.42	2.319
872.47	2.318
872.52	2.316
872.57	2.319
872.62	2.326
872.67	2.334
872.72	2.332
872.77	2.322
872.82	2.306
872.87	2.3
872.92	2.293
872.97	2.29
873.02	2.284
873.07	2.281
873.12	2.273
873.17	2.273
873.22	2.279
873.27	2.284
873.32	2.286
873.37	2.279
873.42	2.267
873.47	2.25
873.52	2.237
873.57	2.227
873.62	2.226
873.67	2.23
873.72	2.231
873.77	2.225
873.82	2.213
873.87	2.201
873.92	2.192
873.97	2.192
874.02	2.193
874.07	2.198
874.12	2.2
874.17	2.199
874.22	2.2
874.27	2.201
874.32	2.2
874.37	2.204
874.42	2.201
874.47	2.193
874.52	2.181
874.57	2.177
874.62	2.174
874.67	2.17
874.72	2.167
874.77	2.171
874.82	2.176
874.87	2.187
874.92	2.188
874.97	2.187
875.02	2.184
875.07	2.181
875.12	2.173
875.17	2.172
875.22	2.172
875.27	2.175
875.32	2.178
875.37	2.177
875.42	2.177
875.47	2.183
875.52	2.196
875.57	2.215
875.62	2.234
875.67	2.231
875.72	2.235
875.77	2.234
875.82	2.252
875.87	2.255
875.92	2.259
875.97	2.264
876.02	2.272
876.07	2.288
876.12	2.293
876.17	2.3
876.22	2.307
876.27	2.314
876.32	2.324
876.37	2.335
876.42	2.339
876.47	2.34
876.52	2.341
876.57	2.345
876.62	2.346
876.67	2.346
876.72	2.345
876.77	2.343
876.82	2.343
876.87	2.336
876.92	2.325
876.97	2.316
877.02	2.303
877.07	2.293
877.12	2.292
877.17	2.289
877.22	2.287
877.27	2.286
877.32	2.278
877.37	2.272
877.42	2.262
877.47	2.259
877.52	2.259
877.57	2.263
877.62	2.261
877.67	2.251
877.72	2.239
877.77	2.236
877.82	2.232
877.87	2.228
877.92	2.215
877.97	2.197
878.02	2.177
878.07	2.163
878.12	2.159
878.17	2.149
878.22	2.137
878.27	2.119
878.32	2.112
878.37	2.113
878.42	2.118
878.47	2.123
878.52	2.132
878.57	2.135
878.62	2.145
878.67	2.16
878.72	2.178
878.77	2.203
878.82	2.222
878.87	2.218
878.92	2.223
878.97	2.211
879.02	2.191
879.07	2.168
879.12	2.17
879.17	2.152
879.22	2.151
879.27	2.162
879.32	2.178
879.37	2.192
879.42	2.201
879.47	2.202
879.52	2.207
879.57	2.218
879.62	2.23
879.67	2.242
879.72	2.249
879.77	2.257
879.82	2.27
879.87	2.284
879.92	2.301
879.97	2.307
880.02	2.308
880.07	2.308
880.12	2.305
880.17	2.313
880.22	2.319
880.27	2.328
880.32	2.328
880.37	2.33
880.42	2.335
880.47	2.34
880.52	2.345
880.57	2.351
880.62	2.349
880.67	2.347
880.72	2.342
880.77	2.336
880.82	2.328
880.87	2.326
880.92	2.327
880.97	2.332
881.02	2.335
881.07	2.338
881.12	2.345
881.17	2.351
881.22	2.357
881.27	2.357
881.32	2.353
881.37	2.349
881.42	2.343
881.47	2.334
881.52	2.325
881.57	2.31
881.62	2.299
881.67	2.29
881.72	2.289
881.77	2.288
881.82	2.289
881.87	2.282
881.92	2.276
881.97	2.264
882.02	2.249
882.07	2.237
882.12	2.224
882.17	2.211
882.22	2.206
882.27	2.204
882.32	2.204
